n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k
1048576,1.10511e+08,1.97564e+07,9.85845e+07,1.04137e+08,1.06633e+08,1.10358e+08,2.15741e+08,8
4194304,6.34539e+08,8.61765e+07,5.65997e+08,6.05336e+08,6.17912e+08,6.34869e+08,1.06252e+09,8
16777216,1.58967e+09,4.76097e+08,1.38311e+09,1.42426e+09,1.51336e+09,1.56062e+09,4.13869e+09,8
67108864,7.60408e+09,1.42463e+09,7.25675e+09,7.3061e+09,7.34368e+09,7.39043e+09,1.54023e+10,8
