n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k,threads
1048576,3.85809e+07,7.40718e+06,3.27755e+07,3.5236e+07,3.71796e+07,3.90342e+07,7.6312e+07,4,4
4194304,1.67306e+08,3.24309e+07,1.43844e+08,1.54715e+08,1.63296e+08,1.68151e+08,3.37463e+08,4,4
16777216,7.83587e+08,1.49243e+08,6.78624e+08,7.05149e+08,7.25658e+08,8.1337e+08,1.41824e+09,4,4
67108864,3.44028e+09,6.83117e+08,3.11776e+09,3.23264e+09,3.29275e+09,3.37328e+09,7.11371e+09,4,4
