n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,threads
1048576,3.05096e+07,1.61682e+07,2.48849e+07,2.62922e+07,2.75219e+07,2.85947e+07,1.18517e+08,4
4194304,1.39211e+08,6.30835e+07,1.147e+08,1.21019e+08,1.28995e+08,1.34063e+08,4.82922e+08,4
16777216,6.46925e+08,2.83524e+08,5.22885e+08,5.64097e+08,5.88279e+08,6.26432e+08,2.17475e+09,4
67108864,3.11467e+09,1.14132e+09,2.53528e+09,2.76257e+09,2.88252e+09,3.08767e+09,9.21218e+09,4
