n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k
1048576,2.24913e+08,1.83896e+07,2.1644e+08,2.19608e+08,2.21002e+08,2.24284e+08,3.23993e+08,2
4194304,9.87996e+08,1.27082e+08,9.15639e+08,9.32253e+08,9.40775e+08,9.55048e+08,1.48979e+09,2
16777216,4.33676e+09,3.52707e+08,4.15069e+09,4.19027e+09,4.22309e+09,4.29454e+09,6.0534e+09,2
67108864,1.82394e+10,1.49234e+09,1.73654e+10,1.7855e+10,1.80268e+10,1.80832e+10,2.62718e+10,2
