n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,threads
1048576,3.1919e+07,1.60508e+07,2.52362e+07,2.76382e+07,2.86209e+07,3.00125e+07,1.18773e+08,2
4194304,1.33601e+08,6.89136e+07,1.07866e+08,1.13426e+08,1.21143e+08,1.29539e+08,5.08159e+08,2
16777216,6.53448e+08,2.76808e+08,5.39859e+08,5.91656e+08,6.02188e+08,6.30807e+08,2.15683e+09,2
67108864,3.13151e+09,1.15764e+09,2.62778e+09,2.78088e+09,2.88003e+09,3.01887e+09,9.36541e+09,2
