n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k,threads
1048576,3.76228e+07,5.56649e+06,3.23986e+07,3.55856e+07,3.67564e+07,3.79821e+07,6.61122e+07,4,8
4194304,1.57945e+08,2.27593e+07,1.36271e+08,1.46297e+08,1.54438e+08,1.60402e+08,2.69222e+08,4,8
16777216,6.36967e+08,9.41611e+07,5.70432e+08,6.03059e+08,6.19029e+08,6.39189e+08,1.13735e+09,4,8
67108864,2.72926e+09,4.18356e+08,2.40732e+09,2.61911e+09,2.659e+09,2.72992e+09,4.92192e+09,4,8
