n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,threads
1048576,3.00985e+07,1.50831e+07,2.45876e+07,2.60773e+07,2.76914e+07,2.84031e+07,1.12286e+08,10
4194304,1.29761e+08,6.46888e+07,1.08791e+08,1.14714e+08,1.17987e+08,1.21712e+08,4.83169e+08,10
16777216,6.04305e+08,2.59022e+08,5.25864e+08,5.43829e+08,5.59206e+08,5.71894e+08,2.01985e+09,10
67108864,2.9054e+09,1.12207e+09,2.5682e+09,2.62067e+09,2.68858e+09,2.78307e+09,9.02817e+09,10
