n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k,threads
1048576,2.61851e+07,6.53372e+06,2.15538e+07,2.37995e+07,2.51582e+07,2.67707e+07,6.0492e+07,16,6
4194304,1.96551e+08,3.20963e+07,1.76178e+08,1.82284e+08,1.86712e+08,1.97498e+08,3.58839e+08,16,6
16777216,4.91038e+08,1.03754e+08,4.3396e+08,4.54816e+08,4.70087e+08,4.90301e+08,1.03968e+09,16,6
67108864,3.62299e+09,4.63341e+08,3.34262e+09,3.43564e+09,3.56822e+09,3.64106e+09,6.07392e+09,16,6
