n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k,threads
1048576,3.23403e+07,5.7653e+06,2.75654e+07,3.00767e+07,3.11903e+07,3.27366e+07,6.19844e+07,8,8
4194304,1.88763e+08,2.71007e+07,1.6909e+08,1.7633e+08,1.80625e+08,1.93717e+08,3.28297e+08,8,8
16777216,4.96377e+08,9.71845e+07,4.14459e+08,4.4821e+08,4.59897e+08,4.92715e+08,9.219e+08,8,8
67108864,2.61263e+09,4.06973e+08,2.32158e+09,2.41928e+09,2.53377e+09,2.61737e+09,4.66346e+09,8,8
