n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k
1048576,1.2383e+08,1.82997e+07,1.08345e+08,1.16413e+08,1.20522e+08,1.24217e+08,2.11008e+08,4
4194304,5.44298e+08,9.08685e+07,4.6559e+08,4.95048e+08,5.20767e+08,5.68325e+08,9.49111e+08,4
16777216,2.09928e+09,3.42754e+08,1.98441e+09,2.02368e+09,2.03396e+09,2.05923e+09,3.97276e+09,4
67108864,9.03189e+09,1.37278e+09,8.63624e+09,8.72391e+09,8.7592e+09,8.82918e+09,1.65217e+10,4
