n,cycles,instructions,cache-references,cache-misses,time(s)
20,912765859,2357416234,1358180,643673,0.224733701
22,4059992822,10031913641,6481335,3478251,1.010709242
24,16814608110,42571199972,31247506,16411205,4.071767419
26,72885508059,180354399060,147430353,81476062,18.259468486
