n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k
1048576,6.84836e+07,1.86814e+07,5.92269e+07,6.31937e+07,6.47411e+07,6.68753e+07,1.6969e+08,16
4194304,4.37176e+08,7.93278e+07,4.07469e+08,4.13095e+08,4.19117e+08,4.28937e+08,8.6255e+08,16
16777216,1.1686e+09,3.22511e+08,1.08807e+09,1.10122e+09,1.11113e+09,1.11975e+09,2.93391e+09,16
67108864,7.83161e+09,1.31456e+09,7.19824e+09,7.35148e+09,7.7027e+09,7.77915e+09,1.49038e+10,16
