n,cycles,instructions,cache-references,cache-misses,time(s)
20,756053593,732422203,2049193,745974,0.064466813
22,2512084149,3020526299,9751081,4473688,0.276626999
24,9956198633,12550042858,46811408,22889428,1.163684600
26,40895169064,52401556952,232455537,118430133,5.163601885
