n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k,threads
1048576,5.96201e+07,1.0919e+07,5.36744e+07,5.52734e+07,5.74001e+07,5.85464e+07,1.15349e+08,8,2
4194304,3.36641e+08,4.39469e+07,3.10143e+08,3.15484e+08,3.29372e+08,3.39388e+08,5.63583e+08,8,2
16777216,8.7642e+08,1.79635e+08,8.14073e+08,8.2836e+08,8.40913e+08,8.56518e+08,1.85298e+09,8,2
67108864,4.45766e+09,7.78264e+08,4.19367e+09,4.29677e+09,4.32304e+09,4.36582e+09,8.71133e+09,8,2
