n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k,threads
1048576,4.27793e+07,1.22586e+07,2.86776e+07,3.43449e+07,3.75123e+07,4.99262e+07,7.09321e+07,4,10
4194304,1.42985e+08,2.14743e+07,1.22821e+08,1.3072e+08,1.40049e+08,1.45324e+08,2.44458e+08,4,10
16777216,5.94802e+08,8.07083e+07,5.43742e+08,5.62078e+08,5.71747e+08,6.01632e+08,9.91705e+08,4,10
67108864,2.93674e+09,4.16792e+08,2.50908e+09,2.67434e+09,2.80219e+09,3.05073e+09,4.6044e+09,4,10
