n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k,threads
1048576,3.50444e+07,8.98715e+06,3.00709e+07,3.16877e+07,3.31753e+07,3.463e+07,8.06731e+07,8,8
4194304,1.70151e+08,2.2829e+07,1.55102e+08,1.62085e+08,1.65314e+08,1.69767e+08,2.90978e+08,8,8
16777216,4.73033e+08,8.74089e+07,4.39522e+08,4.4884e+08,4.55945e+08,4.63772e+08,9.47161e+08,8,8
67108864,2.26337e+09,3.47554e+08,2.11052e+09,2.18242e+09,2.19945e+09,2.23414e+09,4.15665e+09,8,8
