n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k,threads
1048576,2.21923e+07,4.63626e+06,1.93496e+07,2.028e+07,2.16281e+07,2.24963e+07,4.66155e+07,16,8
4194304,2.46679e+08,1.73482e+07,2.30197e+08,2.36296e+08,2.41524e+08,2.53574e+08,3.21697e+08,16,8
16777216,4.45204e+08,8.37817e+07,4.01883e+08,4.1772e+08,4.24876e+08,4.38076e+08,8.90937e+08,16,8
67108864,4.30918e+09,2.56228e+08,4.12355e+09,4.22877e+09,4.24916e+09,4.31335e+09,5.67513e+09,16,8
