n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k,threads
1048576,2.87036e+07,8.39348e+06,2.39963e+07,2.57513e+07,2.69805e+07,2.88092e+07,7.3362e+07,16,4
4194304,1.699e+08,3.21802e+07,1.5016e+08,1.6087e+08,1.63673e+08,1.69302e+08,3.4208e+08,16,4
16777216,5.01089e+08,1.28682e+08,4.56507e+08,4.71784e+08,4.77676e+08,4.87181e+08,1.20369e+09,16,4
67108864,3.05055e+09,5.20094e+08,2.8624e+09,2.91952e+09,2.95374e+09,2.99848e+09,5.88315e+09,16,4
