n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k
1048576,1.18423e+08,2.15974e+07,1.08213e+08,1.11944e+08,1.1424e+08,1.17053e+08,2.35316e+08,4
4194304,4.89571e+08,8.23566e+07,4.62324e+08,4.68606e+08,4.71178e+08,4.81148e+08,9.37167e+08,4
16777216,2.08811e+09,3.42094e+08,1.99441e+09,2.0043e+09,2.02361e+09,2.03827e+09,3.95599e+09,4
67108864,8.78406e+09,1.48539e+09,8.41392e+09,8.45698e+09,8.49288e+09,8.54981e+09,1.69032e+10,4
