n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k,threads
1048576,2.70077e+07,4.85094e+06,2.37981e+07,2.57695e+07,2.60409e+07,2.70634e+07,5.27956e+07,16,10
4194304,1.32103e+08,2.44e+07,1.22995e+08,1.24533e+08,1.26872e+08,1.30133e+08,2.63265e+08,16,10
16777216,4.04939e+08,8.98282e+07,3.72898e+08,3.79885e+08,3.83692e+08,3.92142e+08,8.88985e+08,16,10
67108864,2.20141e+09,3.95729e+08,2.05033e+09,2.09076e+09,2.11413e+09,2.15571e+09,4.34217e+09,16,10
