n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,threads
1048576,2.90018e+07,1.38801e+07,2.46563e+07,2.54896e+07,2.67166e+07,2.74423e+07,1.04702e+08,8
4194304,1.31076e+08,6.31374e+07,1.09205e+08,1.16083e+08,1.18592e+08,1.22622e+08,4.74969e+08,8
16777216,6.03472e+08,2.67805e+08,5.2333e+08,5.46648e+08,5.56592e+08,5.71401e+08,2.06815e+09,8
67108864,2.79748e+09,1.11047e+09,2.50358e+09,2.56459e+09,2.59654e+09,2.63751e+09,8.87453e+09,8
