n,cycles,instructions,cache-references,cache-misses,time(s)
20,2615959103,2238582325,6208145,2080295,0.081508281
22,9337445063,9217194319,27012441,10821330,0.299014392
24,30192445300,37861447676,124601918,56824347,1.184360542
26,119855611799,157096197678,597121296,297241155,5.363930584
