n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k
1048576,6.68225e+07,1.85632e+07,5.86347e+07,6.01636e+07,6.17237e+07,6.48219e+07,1.61991e+08,16
4194304,4.19847e+08,7.4964e+07,3.96261e+08,4.01855e+08,4.05172e+08,4.08927e+08,8.27868e+08,16
16777216,1.15585e+09,3.12727e+08,1.0756e+09,1.09132e+09,1.09585e+09,1.1112e+09,2.86729e+09,16
67108864,7.38556e+09,1.35906e+09,6.9524e+09,7.07456e+09,7.1207e+09,7.21511e+09,1.4806e+10,16
