n,cycles,instructions,cache-references,cache-misses,time(s)
20,941360338,2375237178,1412524,670905,0.234982858
22,4018263022,10103438729,6384382,3558147,1.031483564
24,16929929989,42857058810,30483465,15934385,4.237690814
26,72207938147,181499886509,144377332,77876768,17.758647085
