n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,k,threads
1048576,2.63301e+07,6.5023e+06,2.15189e+07,2.40974e+07,2.52411e+07,2.6625e+07,6.07667e+07,16,6
4194304,1.48854e+08,2.7274e+07,1.31777e+08,1.41214e+08,1.43108e+08,1.47541e+08,2.95632e+08,16,6
16777216,4.43887e+08,1.11682e+08,4.10151e+08,4.18493e+08,4.24459e+08,4.30302e+08,1.0543e+09,16,6
67108864,2.55177e+09,4.90119e+08,2.38957e+09,2.43299e+09,2.45946e+09,2.49266e+09,5.2245e+09,16,6
