n,cycles,instructions,cache-references,cache-misses,time(s)
20,1132931385,2400001290,1544239,888699,0.159239953
22,4200808480,10195837997,6572904,3423667,0.602597473
24,17966945080,43218929357,31454354,16665086,2.574912232
26,78263308295,182726868626,156933510,86104049,11.448852667
